id,text,used
1,寝バック最高なんだけど、あの体勢でゆっくり腰動かしながら奥の方を刺激してもらうと全身の力が抜けて声我慢できなくなるし、もう人間として終わってる感じになるから全員必ずやってこい。いい加減にしろよ本当に。パンパンじゃなくて小刻みに動かすのがコツだから覚えておいて。頭おかしくなりそうなほど気持ちよくて鳥肌立ちまくるし、理性なんて消え去るから心の準備してからやれよ。,False
2,セックス終わった後のアフターケアをちゃんとしない男が悲しい時に寄り添ってくれると思う？お股拭いて、服着させて、布団かけて、頭ポンポンしながら胸の中で愛してるって言うのを男の義務として教科書に載せとけよ。これができない男は論外だし、そもそも人として終わってる。ティッシュでお股拭いてくれない男が涙拭いてくれるわけないじゃん。当たり前のことを当たり前にやれない男とは別れた方がいいし、そんなやつと付き合ってる時間もったいないから今すぐ別れろ。,False
3,セフレでもいいから作った方がいい理由があってさ。ハグでストレス全部消えるし、キスで幸せホルモンドバドバ出るし、頭なでなでされたら死亡率下がるし、愛してるの一言で寿命伸びまくるし、添い寝で睡眠の質爆上がりするし、若返りホルモンDHEA分泌されまくるから老けないし最高。我々はもっと癒されなければならないし、もっとセックスしなければならない。人生短いんだから遠慮してる場合じゃないよ本当に。,False
4,5キロ痩せるだけで別人になれるって知ってた？目が大きく見えるし、姿勢良くすればスタイル良く見えるし、首伸ばせば小顔効果あるし、顎引けば品が出るし、猫背直せばふくらはぎ細くなるし、大股で歩けば太もも引き締まるし、案外簡単に可愛くなれるんだよね。ダイエットなんて難しく考えなくていいし、ちょっとした意識の違いで劇的に変われるから今日から始めろ。体重の数字なんてどうでもよくて見た目が全てだから騙されるな。,False
5,セックスしようって素直に誘えない男はダサすぎて無理。飲みすぎたとか休憩したいとか女々しい理由つけてホテル行こうとする男より、最初から一目惚れしました！セックスしたいです！って正直に言ってくる男の方が100倍かっこいいし、そういう男らしさに女の子は弱いんだよ。同意得られてないセックス強要するより堂々と誘える男になれよ。女の子だって本当はしたいんだから勇気出して誘え。,False
6,おっぱい揉まれると肌質改善するし生理痛緩和するし暴飲暴食抑制できるし胸大きくなるし乳がんリスク下がるしエロい体つきになるし髪質改善するし肌潤うし妊娠確率上がるし基礎体温と基礎代謝上がるから最高なんだけど、大好きな人に揉んでもらわないと意味ないからな。浮気相手とか不倫相手みたいな罪悪感ある相手だと逆効果でおっぱい腐るし、なんなら1個減るから気をつけろ本当に。愛情込めて揉んでくれる人じゃないとダメ。,False
7,別れた直後の男女の温度差やばくない？男は「やっほー！自由だ！遊ぶぞ！」ってはしゃいでるのに女は「死にたい...」ってなってるけど、3ヶ月経つと男は「なんで別れたんだろ、セックスしたい」って後悔し始めて、女は「あんなののどこが良かったんだろ？」って冷静になるの面白すぎる。男の賞味期限3ヶ月説は本当だし、女の立ち直りの早さは異常。時間が解決してくれるから安心しろ。,False
8,Fカップの友達の巨乳の秘密聞いたら鶏肉食べまくってるのかと思ったら違った。毎日彼氏におっぱい揉んでもらって毎日チュウして毎日ハグして週3セックスしてるだけらしくて、はち切れるほど成長する我が子のようにブラ2、3ヶ月で買い替えるらしい。やっぱりおっぱいを育てるのは愛なんだなって確信した。栄養とか運動とかじゃなくて愛情が一番効くから彼氏作れ。おっぱい大きくしたかったら愛されろ。,False
9,おっぱいとお尻残して痩せる習慣教えるから聞け。最初に汁物食べて、週3セックスして、30回噛んでから飲み込んで、また週3セックスして、小さい皿使って食事量抑えて、さらに週3セックスして、いい香りの香水使って、またまた週3セックスして、ルイボスティー飲んで。結局セックスが一番効くし、いいもの入れて汗として出して女性ホルモン活性化させるのが痩せる近道。運動とか食事制限とかめんどくさいことしなくていいから週3でセックスしろ。,False
10,セックスせずに体の相性調べる方法あるから教える。キスが美味しいか、手の大きさ同じか、香水の趣味合うか、脇の匂いギリ許せるか、一度に致せる回数同じか、耳の裏いい匂いか、顔の系統全く似てないか、手が触れた時気持ちいいか、うなじの生え際見てて心地いいか。これ全部当てはまったら相性最高だし、同じ人とセックスしまくってると勝手に相性良くなるから安心しろ。体の相性なんて作れるものだから気にするな。,False
11,追加でツイート作成を依頼する場合は `n` を入力してください。,False
12,セックス途中でお互いハァハァしてる時に口移しで水飲むのやばすぎる。頭クラクラするし結局飲めてなくて首筋にツーって垂れるからそれを追いかけるとエロいスイッチさらに入るし、これをお酒でやると取り返しつかなくなるほどキマッてテキーラやったときくらい飛ぶから、バカエロいセックスしたい時にオススメ。理性なんて吹っ飛ぶから覚悟してやれよ。水分補給のつもりが興奮剤になるの最高すぎて癖になる。,False
13,私以外にも女いるのかよって感じた瞬間、女の子は急にダルくなって冷めるし、どんなに好きだったとしても殺意芽生えるからな。浮気の匂いさせた時点で終わりだし、他の女の影チラつかせるような男は論外。私だけを見ろよ。私以外見る必要ないだろ。なんで他の女なんか見てんの？目腐ってんの？眼科行く？私という最高の女がいるのに他見てる時点でセンスないし、そんな男こっちから願い下げだわ。一途じゃない男に価値なんてない。,False
14,女性代表して言うけど、男性に「は？」って言われると怖いし悲しいから「にょ？」とかにして欲しい。は？って言葉の破壊力やばすぎて心臓止まりそうになるし、トラウマになるレベルで傷つくから本当にやめて。にょ？なら可愛いし許せるし、なんなら愛おしくなるから全男性は今日から「は？」禁止で「にょ？」使え。これだけで彼女との関係良くなるから試してみろ。言葉一つで関係性変わるから気をつけろよ。,False
15,うるせえって言ってんのに「可愛い」「好き」「愛してる」ってゴリ押ししてくるゴリラみたいな彼氏がいい。やめてって言ってもやめないし、うざいって言っても愛してるって返してくるし、もう無理って言っても大好きって言ってくる頭おかしいくらいの愛情表現してくる彼氏が最高。ツンデレごっこに付き合ってくれて、それでも愛を押し付けてくる男が優勝。素直になれない時もあるけど、それでも愛してくれる人がいいんだよ。,False
16,浮気する人ってブスになるって知ってた？嘘つくたびに感情と違う表情筋使うから過度なストレスで醜いシワが顔に刻まれてブスになっていくんだって。浮気繰り返したり嘘つくのが癖になってる人はブスが多いし、これからもブス化が止まらないからザマアミロ。浮気するたびに顔面崩壊していくとか因果応報すぎて笑える。美人でいたかったら一途でいろよ。嘘つかない正直な人が一番美しいんだから。,False
17,オッパイの件について男性にお伝えしたいんだけど、女性はオッパイ揉まれても基本的に気持ち良くないからな。男性は何故かセックス中にオッパイ揉んでくるけど、雰囲気維持するために乳ガン検診だと思って我慢してる女性多いよ。ごめんね、夢壊して。でも事実だから知っといて。おっぱい揉むより他に気持ちよくしてくれることたくさんあるだろ。そっちに集中しろよ。女性が本当に感じてるか見極めろ。,False
18,セックスで痩せる理論教えるから聞け。女の子は子宮の温度保とうと脂肪つきやすい身体になるから基礎体温上げるとすぐ痩せ体質になれる。お風呂長く浸かったりサウナ行ったり運動したり、特にもも裏鍛えるのもいいけど、オススメはセックス。一番肉が落ちにくい腰回りからクビレて砂時計体型になれる。痩せたかったら上に乗って腰振れ。騎乗位最強説は本当だし、楽しみながら痩せられるとか最高すぎる。,False
19,彼氏に冗談でブスって言われる相談多すぎ。メイクもダイエットもネイルもヘアセットも頑張ってるのに何を変えればいいですかって、変えるのは彼氏だよ。そんなやつと付き合ってる時間もったいないし、グーでこめかみにビンタしていいレベル。冗談でも女性の容姿けなす男は論外。そんな男と付き合ってたら本当にブスになるから今すぐ別れろ。自分を大切にしてくれる人と付き合え。,False
20,生理痛の時の彼氏の対応は将来妊娠した時の旦那としての態度に似るらしいから、生理痛に優しくできない男性は結婚対象から外せ。そんな奴と結婚したら地獄だし、グーでこめかみビンタしていいレベル。生理の辛さ理解しようとしない男に父親になる資格ないし、女性の痛み分からない男は人として終わってる。優しくしてくれる男だけ大切にしろ。それ以外は時間の無駄。,False
21,好きって言ったら「僕も愛してる」って返してくる調子乗った彼氏がいい。嫌いって言っても「僕は愛してる」って言ってくる頭おかしい彼氏でもいい。変な人って一緒にいて楽しいし、普通の恋愛なんてつまらない。ちょっとおかしいくらいがちょうどいいし、真面目すぎる男は面白くない。ふざけた返事してくる男の方が愛おしいし、そういう余裕ある男が最高。恋愛に正解なんてないんだから楽しんだもん勝ち。,False
