id,text,used
1752405519817,男は付き合った瞬間に愛情表現をやめる生き物だけど、本当に一途で大切にしてくれる男っていうのは、むしろ付き合ってからの方がどんどん愛情深くなっていくの。そういう絶滅危惧種みたいな男と出会えたら、もう絶対に手放しちゃダメよ。毎日「可愛い」って言ってくれて、毎日「好き」って伝えてくれて、毎日会いたがってくれる男と付き合って結婚したら、きっと華やかで幸せな人生になる。,False
1752405519818,好きな人に「重い」って思われるのが怖くて、本当は毎日でも会いたいのに我慢してる。本当は毎日でも「好き」って言いたいのに我慢してる。でもね、重くなって当然なんだよ。だって本気で好きなんだから。重くない女の子なんて、もうあなたに冷めてるか、死ぬほど我慢してるかの2択しかないの。だから堂々と重たい愛を注げる人と付き合って結婚した方がいい。,False
1752405519819,付き合う前はあんなに優しくて「会いたい」「好き」って言ってくれてたのに、付き合った途端に素っ気なくなる男って本当に多すぎる。なんで男って手に入れた途端に大切にしなくなるんだろうね。でも逆に考えれば、付き合ってからも変わらず愛情表現してくれる男がどれだけ貴重で素晴らしいかってことよ。そんな男と出会えたら絶対に離しちゃダメ。,False
1752405519820,本当に愛してくれる人っていうのは、どんなに忙しくても必ず連絡をくれるし、どんなに疲れていても会いに来てくれる。口では「愛してる」って簡単に言えるけど、本当の愛情っていうのは行動に現れるもの。言葉より行動、これが全てなんだよね。あなたのために時間を作ってくれる人、あなたのために何かしてくれる人、そういう人こそが本当にあなたを愛してくれている人。,False
1752405519821,好きな人から「可愛い」って言われることが、何よりも嬉しくて自己肯定感が爆上がりする瞬間。だから本当に好きな人には、毎日でも「可愛い」って言ってほしい。それだけで私は生きていける。逆に「可愛い」を他の女の子に軽々しく言う男は信用できない。私にだけ「可愛い」って言ってくれる男がいい。私だけを特別扱いしてくれる男と付き合って結婚したい。,False
1752405519822,恋愛で一番大切なのは「報連相」と「愛情表現」を絶対にサボらないこと。どこに行くのか、何をしているのか、ちゃんと共有してくれる人じゃないと不安になる。そして毎日「好き」「可愛い」「ありがとう」「ごめんね」をちゃんと言える人。この4つの言葉を当たり前に言える人と付き合って結婚すれば、絶対に幸せになれる。言葉って本当に大切で、愛情を言葉で表現してくれる人は最高。,False
1752405519823,男って本当に単純な生き物で、本気で好きな女性からの連絡を放置することは絶対にできない。つまり返事が早いかどうかで、あなたがどれだけ大切にされているかが分かるの。本当に好きなら、どんなに忙しくても秒で返事してくる。逆に返事が遅い男は、あなたの優先順位が低いってこと。そういう男に時間を使うのは本当にもったいない。,False
1752405519824,結婚するなら「この人は何があっても私の味方でいてくれる」って確信できる人を選ぶべき。お金があるとか、顔がいいとかじゃなくて、どんなときも私を支えてくれて、私を裏切らない人。そういう人と結婚したら、人生で最高のパートナーを得られる。世界で一番の味方ができるって、それだけで結婚する価値があると思う。愛と信頼で結ばれた関係が一番強い。,False
1752405519825,本当に好きな人って、その人の全てが完璧なわけじゃなくて、嫌なところもあるし腹が立つこともある。でも最終的に「やっぱりこの人がいい」って思える人なんだよね。完璧じゃないからこそ愛おしくて、欠点も含めて全部愛せる。そういう人と出会えたら、それはもう運命だと思う。お互いの全てを受け入れ合える関係って、本当に素晴らしい。,False
1752405519826,一途な男の特徴として、友達は少ないけど深い関係を築いている人が多い。物も大切に長く使う人。そういう男は女性に対しても同じように、一人の人を深く大切に愛してくれる。浮気なんて絶対にしないし、他の女性に目移りすることもない。一途な男と出会えたら、本当に幸せな恋愛ができる。一途さって才能だと思うから、一途な人は絶対に幸せになってほしい。,False
